title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Distributor,Domestic Opening,Drama,Family,Fantasy,MPAA Rating,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release
Hotel Transylvania 3: Summer Vacation,,1.0,1.0,80000000,1.0,,Sony Pictures Entertainment (SPE),44076225,,1.0,1.0,PG,528583774,1.0,1.0,97.0,,,2018
Dunkirk,1.0,,,100000000,,,Warner Bros.,50513488,1.0,,,PG-13,525245546,1.0,,106.0,,1.0,2017
How to Train Your Dragon: The Hidden World,1.0,1.0,1.0,129000000,1.0,,Universal Pictures,55022245,1.0,1.0,1.0,PG,521799505,,1.0,104.0,,,2019
Godzilla,1.0,,,130000000,,,Sony Pictures Entertainment (SPE),44047541,,,,PG-13,379014294,,,139.0,1.0,1.0,1998
Sherlock Holmes,1.0,1.0,,90000000,,,Warner Bros.,62304277,,,,PG-13,524028679,1.0,,128.0,,,2009
Meet the Fockers,,,,80000000,1.0,,Universal Pictures,46120980,,,,PG-13,522657936,,1.0,115.0,,,2004
WALL·E,,1.0,1.0,180000000,,,Walt Disney Studios Motion Pictures,63087526,,1.0,,,521311860,,1.0,98.0,1.0,,2008
Kung Fu Panda 3,1.0,1.0,1.0,145000000,1.0,,Twentieth Century Fox,41282042,1.0,1.0,1.0,PG,521170825,,,95.0,,,2016
Terminator 2: Judgment Day,1.0,,,102000000,,,TriStar Pictures,31765506,,,,R,204843345,,,137.0,1.0,,1991
Ant-Man,1.0,1.0,,130000000,1.0,,Walt Disney Studios Motion Pictures,57225526,,,,PG-13,519311965,,,117.0,1.0,,2015
The Grinch,,1.0,1.0,75000000,1.0,,Universal Pictures,67572855,,1.0,1.0,PG,511595957,1.0,,85.0,,,2018
Ghost,,,,22000000,,,Paramount Pictures,12191540,1.0,,1.0,,217631306,,1.0,127.0,,1.0,1990
Rio 2,,1.0,1.0,103000000,1.0,1.0,Twentieth Century Fox,39327869,1.0,1.0,,G,498781117,1.0,,101.0,,,2014
Troy,,,,175000000,,,Warner Bros.,46865412,1.0,,,R,497409852,1.0,,163.0,,,2004
Toy Story 2,,1.0,1.0,90000000,1.0,,Walt Disney Studios Motion Pictures,300163,,1.0,1.0,,487059677,,,92.0,,,1999
How to Train Your Dragon,1.0,1.0,1.0,165000000,,,DreamWorks,43732319,1.0,1.0,1.0,PG,494878759,,,98.0,,,2010
Twister,1.0,1.0,,92000000,,,Warner Bros.,41059405,,,,,241721524,,,113.0,,1.0,1996
Oz the Great and Powerful,,1.0,,215000000,,,Walt Disney Studios Motion Pictures,79110453,,1.0,1.0,PG,493311825,,,130.0,,,2013
Clash of the Titans,1.0,1.0,,125000000,,,Warner Bros.,61235105,,,1.0,PG-13,493214993,,,106.0,,,2010
Maleficent: Mistress of Evil,,1.0,,185000000,,,Walt Disney Studios Motion Pictures,36948713,,1.0,1.0,PG,491730089,,,119.0,,,2019
War for the Planet of the Apes,1.0,1.0,,150000000,,,Twentieth Century Fox,56262929,1.0,,,PG-13,490719763,,,140.0,1.0,1.0,2017
Shrek,,1.0,1.0,60000000,1.0,,DreamWorks Distribution,42347760,,1.0,1.0,PG,484409218,,,90.0,,,2001
Mr. & Mrs. Smith,1.0,,,110000000,1.0,1.0,Twentieth Century Fox,50342878,,,,PG-13,487287646,,,117.09462915601023,,1.0,2005
Angels & Demons,1.0,,,150000000,,,Sony Pictures Entertainment (SPE),46204168,,,,PG-13,485930816,1.0,,138.0,,1.0,2009
Teenage Mutant Ninja Turtles,1.0,1.0,,125000000,1.0,,Paramount Pictures,65575105,,,,PG-13,485004754,,,101.0,1.0,,2014
Bruce Almighty,,,,81000000,1.0,,Universal Pictures,67953330,,,1.0,PG-13,484592874,,,101.0,,,2003
Rio,,1.0,1.0,90000000,1.0,1.0,Twentieth Century Fox,39225962,1.0,1.0,,PG,483866518,1.0,,96.0,,,2011
Saving Private Ryan,,,,70000000,,,DreamWorks Distribution,30576104,1.0,,,R,481840909,1.0,,169.0,,,1998
Rise of the Planet of the Apes,1.0,,,93000000,,,Twentieth Century Fox,54806191,1.0,,,PG-13,481800873,,,105.0,1.0,1.0,2011
Home Alone,,,,18000000,1.0,,Twentieth Century Fox,17081997,,1.0,,,285761244,,,103.0,,,1990
Star Wars: Episode VI - Return of the Jedi,1.0,1.0,,32500000,,,Twentieth Century Fox,23019618,,,1.0,PG,252583617,,,131.0,1.0,,1983
Charlie and the Chocolate Factory,,1.0,,150000000,1.0,,Warner Bros.,56178450,,1.0,1.0,PG,474968763,1.0,,115.0,,,2005
Hotel Transylvania 2,,1.0,1.0,80000000,1.0,,Sony Pictures Entertainment (SPE),48464322,1.0,1.0,1.0,PG,474800000,1.0,1.0,89.0,,,2015
Indiana Jones and the Last Crusade,1.0,1.0,,48000000,,,Paramount Pictures,29355021,,,,PG-13,197171806,,,127.0,,,1989
San Andreas,1.0,1.0,,110000000,,,Warner Bros.,54588173,,,,PG-13,473990832,,,114.0,,1.0,2015
It Chapter Two,,,,79000000,,,Warner Bros.,91062152,1.0,,1.0,R,473093228,1.0,,169.0,,,2019
Jaws,,1.0,,7000000,,,Universal Pictures,7061513,,,,,260000000,,,124.0,,1.0,1975
Wreck-It Ralph,,1.0,1.0,165000000,1.0,,Walt Disney Studios Motion Pictures,49038712,,1.0,1.0,PG,471222889,,,101.0,1.0,,2012
The Hangover,,,,35000000,1.0,,Warner Bros.,44979319,,,,R,468812793,,,100.0,,,2009
The Lego Movie,,1.0,1.0,60000000,1.0,,Warner Bros.,69050279,,1.0,1.0,PG,468060692,,,100.0,1.0,,2014
Bumblebee,1.0,1.0,,135000000,,,Paramount Pictures,21654047,,,,PG-13,467989645,,,114.0,1.0,,2018
Star Trek Into Darkness,1.0,1.0,,190000000,,,Paramount Pictures,70165559,,,,PG-13,467365246,,,132.0,1.0,,2013
The Matrix,1.0,,,63000000,,,Warner Bros.,27788331,,,,R,463517383,,,136.0,1.0,,1999
Gladiator,1.0,1.0,,103000000,,,DreamWorks Distribution,34819017,1.0,,,R,460583960,,,155.0,,,2000
Pretty Woman,,,,14000000,1.0,,Walt Disney Studios Motion Pictures,11280591,,,,R,178406268,,1.0,119.0,,,1990
Cars,,1.0,1.0,120000000,1.0,,Walt Disney Studios Motion Pictures,60119509,,1.0,,,461983149,1.0,,117.0,,,2006
X-Men: The Last Stand,1.0,1.0,,210000000,,,Twentieth Century Fox,102750665,,,,PG-13,460435291,,,104.0,1.0,,2006
Lucy,1.0,,,40000000,,,Universal Pictures,43899340,,,,R,458863600,,,89.0,1.0,1.0,2014
Mission: Impossible,1.0,1.0,,80000000,,,Paramount Pictures,45436830,,,,PG-13,180981856,,,110.0,,1.0,1996
300,1.0,,,65000000,,,Warner Bros.,70885301,1.0,,,R,456068181,,,117.0,,,2007
The Last Samurai,1.0,,,140000000,,,Warner Bros.,24271354,1.0,,,R,454627263,,,154.0,,,2003
Ocean's Eleven,,,,85000000,,1.0,Warner Bros.,38107822,,,,PG-13,450717150,,,116.0,,1.0,2001
Thor,1.0,1.0,,150000000,,,Paramount Pictures,65723338,,,1.0,PG-13,449326618,,,115.0,,,2011
Pearl Harbor,1.0,,,140000000,,,Walt Disney Studios Motion Pictures,59078912,1.0,,,PG-13,449220945,1.0,1.0,183.0,,,2001
La La Land,,,,30000000,1.0,,Lionsgate,881104,1.0,,,PG-13,447407695,1.0,1.0,128.0,,,2016
Tarzan,,1.0,1.0,130000000,1.0,,Walt Disney Studios Motion Pictures,34221968,,1.0,,G,448191819,,,88.0,,,1999
Men in Black II,1.0,1.0,,140000000,1.0,,Sony Pictures Entertainment (SPE),52148751,,,,PG-13,441818803,1.0,,88.0,1.0,,2002
